split,label,core,sec,path
train,fake,walking_down_indoor_hall_disgust,29,data/train/fake/walking_down_indoor_hall_disgust__t0029__fake.jpg
train,fake,walking_and_outside_surprised,27,data/train/fake/walking_and_outside_surprised__t0027__fake.jpg
train,fake,walking_outside_cafe_disgusted,10,data/train/fake/walking_outside_cafe_disgusted__t0010__fake.jpg
train,fake,kitchen_pan,24,data/train/fake/kitchen_pan__t0024__fake.jpg
train,fake,df24_fake.jpg,,data/train/fake/df24_fake.jpg
train,fake,df25_fake.jpg,,data/train/fake/df25_fake.jpg
train,fake,outside_talking_pan_laughing,26,data/train/fake/outside_talking_pan_laughing__t0026__fake.jpg
train,fake,podium_speech_happy,21,data/train/fake/podium_speech_happy__t0021__fake.jpg
train,fake,kitchen_pan,30,data/train/fake/kitchen_pan__t0030__fake.jpg
train,fake,talking_angry_couch,61,data/train/fake/talking_angry_couch__t0061__fake.jpg
train,fake,hugging_happy,9,data/train/fake/hugging_happy__t0009__fake.jpg
train,fake,walking_outside_cafe_disgusted,4,data/train/fake/walking_outside_cafe_disgusted__t0004__fake.jpg
train,fake,walking_and_outside_surprised,33,data/train/fake/walking_and_outside_surprised__t0033__fake.jpg
train,fake,kitchen_pan,11,data/train/fake/kitchen_pan__t0011__fake.jpg
train,fake,outside_talking_pan_laughing,13,data/train/fake/outside_talking_pan_laughing__t0013__fake.jpg
train,fake,hugging_happy,28,data/train/fake/hugging_happy__t0028__fake.jpg
train,fake,talking_angry_couch,40,data/train/fake/talking_angry_couch__t0040__fake.jpg
train,fake,walking_and_outside_surprised,12,data/train/fake/walking_and_outside_surprised__t0012__fake.jpg
train,fake,walking_and_outside_surprised,6,data/train/fake/walking_and_outside_surprised__t0006__fake.jpg
train,fake,walking_down_indoor_hall_disgust,8,data/train/fake/walking_down_indoor_hall_disgust__t0008__fake.jpg
train,fake,talking_angry_couch,54,data/train/fake/talking_angry_couch__t0054__fake.jpg
train,fake,outside_talking_pan_laughing,7,data/train/fake/outside_talking_pan_laughing__t0007__fake.jpg
train,fake,df53_fake.jpg,,data/train/fake/df53_fake.jpg
train,fake,kitchen_pan,5,data/train/fake/kitchen_pan__t0005__fake.jpg
train,fake,df52_fake.jpg,,data/train/fake/df52_fake.jpg
train,fake,podium_speech_happy,14,data/train/fake/podium_speech_happy__t0014__fake.jpg
train,fake,kitchen_pan,29,data/train/fake/kitchen_pan__t0029__fake.jpg
train,fake,talking_against_wall,37,data/train/fake/talking_against_wall__t0037__fake.jpg
train,fake,hugging_happy,10,data/train/fake/hugging_happy__t0010__fake.jpg
train,fake,walking_down_indoor_hall_disgust,24,data/train/fake/walking_down_indoor_hall_disgust__t0024__fake.jpg
train,fake,talking_angry_couch,2,data/train/fake/talking_angry_couch__t0002__fake.jpg
train,fake,df67_fake.jpg,,data/train/fake/df67_fake.jpg
train,fake,df66_fake.jpg,,data/train/fake/df66_fake.jpg
train,fake,outside_talking_still_laughing,3,data/train/fake/outside_talking_still_laughing__t0003__fake.jpg
train,fake,outside_talking_still_laughing,17,data/train/fake/outside_talking_still_laughing__t0017__fake.jpg
train,fake,walking_and_outside_surprised,44,data/train/fake/walking_and_outside_surprised__t0044__fake.jpg
train,fake,df1_fake.jpg,,data/train/fake/df1_fake.jpg
train,fake,talking_angry_couch,16,data/train/fake/talking_angry_couch__t0016__fake.jpg
train,fake,walking_down_indoor_hall_disgust,30,data/train/fake/walking_down_indoor_hall_disgust__t0030__fake.jpg
train,fake,walking_outside_cafe_disgusted,9,data/train/fake/walking_outside_cafe_disgusted__t0009__fake.jpg
train,fake,hugging_happy,4,data/train/fake/hugging_happy__t0004__fake.jpg
train,fake,talking_against_wall,23,data/train/fake/talking_against_wall__t0023__fake.jpg
train,fake,talking_angry_couch,37,data/train/fake/talking_angry_couch__t0037__fake.jpg
train,fake,walking_down_indoor_hall_disgust,11,data/train/fake/walking_down_indoor_hall_disgust__t0011__fake.jpg
train,fake,df59_fake.jpg,,data/train/fake/df59_fake.jpg
train,fake,df58_fake.jpg,,data/train/fake/df58_fake.jpg
train,fake,talking_against_wall,2,data/train/fake/talking_against_wall__t0002__fake.jpg
train,fake,hugging_happy,25,data/train/fake/hugging_happy__t0025__fake.jpg
train,fake,walking_down_street_outside_angry,1,data/train/fake/walking_down_street_outside_angry__t0001__fake.jpg
train,fake,kitchen_pan,8,data/train/fake/kitchen_pan__t0008__fake.jpg
train,fake,hugging_happy,31,data/train/fake/hugging_happy__t0031__fake.jpg
train,fake,talking_angry_couch,59,data/train/fake/talking_angry_couch__t0059__fake.jpg
train,fake,talking_against_wall,16,data/train/fake/talking_against_wall__t0016__fake.jpg
train,fake,walking_down_indoor_hall_disgust,5,data/train/fake/walking_down_indoor_hall_disgust__t0005__fake.jpg
train,fake,talking_angry_couch,23,data/train/fake/talking_angry_couch__t0023__fake.jpg
train,fake,podium_speech_happy,19,data/train/fake/podium_speech_happy__t0019__fake.jpg
